resource, consumer1, toxin, environment
24, 52, 79, 1
20, 52, 66, 1
11, 74, 75, -1
13, 56, 77, -1
11, 55, 66, -1
37, 49, 77, 1
35, 42, 93, -1
37, 39, 92, 1
15, 36, 66, -1
40, 25, 118, 1
16, 80, 68, 1
52, 53, 95, -1
39, 53, 74, 1
12, 63, 68, 1
32, 71, 81, 1
23, 99, 70, 1
15, 44, 70, 1
23, 65, 76, 1
24, 26, 96, -1
45, 31, 75, 1
36, 38, 84, 1
22, 59, 97, -1
27, 66, 90, 1
20, 33, 80, -1
38, 48, 87, 1
10, 50, 77, 1
15, 66, 78, -1
19, 70, 72, 1
23, 112, 62, 1
30, 62, 58, 1
32, 25, 106, -1
51, 39, 72, 1
29, 52, 77, 1
18, 62, 77, -1
15, 99, 59, 1
24, 53, 77, 1
15, 61, 71, -1
24, 44, 76, 1
25, 64, 67, 1
21, 65, 59, 1
10, 104, 59, -1
28, 36, 106, -1
10, 41, 72, -1
16, 52, 90, -1
23, 87, 74, -1
17, 46, 68, 1
33, 48, 99, -1
25, 53, 68, -1
27, 62, 82, 1
18, 50, 63, 1
30, 88, 68, 1
25, 46, 60, -1
7, 67, 80, -1
22, 72, 61, -1
21, 61, 81, 1
16, 53, 77, -1
18, 47, 83, 1
18, 55, 77, -1
17, 55, 71, -1
38, 32, 79, 1
18, 55, 72, -1
55, 61, 78, 1
27, 51, 77, -1
31, 29, 84, -1
22, 88, 72, -1
26, 74, 85, -1
26, 61, 65, 1
21, 58, 78, 1
14, 61, 84, -1
22, 62, 63, 1
26, 60, 84, -1
14, 118, 43, -1
13, 68, 61, -1
18, 34, 71, -1
11, 56, 68, -1
28, 90, 74, -1
29, 44, 80, 1
36, 41, 80, 1
18, 52, 75, -1
15, 64, 59, -1
23, 72, 74, -1
16, 32, 85, -1
22, 45, 75, 1
36, 65, 61, 1
27, 70, 68, -1
45, 47, 85, -1
27, 47, 79, -1
25, 90, 79, 1
18, 80, 69, 1
31, 38, 98, 1
19, 92, 71, 1
37, 32, 97, -1
24, 50, 91, -1
22, 76, 67, 1
22, 46, 82, -1
21, 84, 70, 1
40, 53, 84, 1
34, 51, 76, 1
15, 55, 60, -1
23, 67, 61, 1
20, 66, 76, -1
27, 46, 81, 1
17, 58, 70, -1
12, 43, 65, -1
31, 46, 77, 1
23, 56, 82, 1
35, 25, 89, 1
35, 61, 78, 1
25, 39, 93, -1
24, 66, 63, 1
40, 33, 87, 1
12, 56, 81, 1
29, 67, 70, -1
22, 43, 79, 1
34, 36, 85, 1
25, 71, 76, 1
49, 38, 66, 1
23, 46, 92, 1
35, 32, 78, -1
31, 50, 71, 1
22, 36, 99, -1
16, 57, 80, 1
27, 45, 88, 1
28, 36, 80, -1
20, 99, 63, 1
16, 43, 77, -1
30, 44, 95, -1
17, 60, 75, -1
26, 66, 59, 1
31, 63, 87, 1
19, 76, 64, -1
29, 98, 61, 1
26, 65, 58, -1
31, 41, 78, 1
32, 43, 90, -1
7, 55, 80, -1
36, 40, 107, 1
23, 25, 91, -1
36, 47, 68, 1
31, 29, 66, 1
19, 60, 91, -1
14, 47, 89, -1
21, 52, 76, 1
20, 46, 87, -1
15, 54, 80, -1
35, 34, 88, 1
32, 27, 102, -1
41, 75, 75, 1
22, 83, 51, 1
12, 57, 66, 1
11, 43, 79, -1
38, 53, 75, 1
24, 77, 69, 1
28, 74, 75, -1
10, 37, 97, -1
20, 77, 67, -1
40, 77, 97, 1
15, 78, 62, 1
8, 47, 76, -1
30, 71, 68, 1
27, 62, 52, 1
35, 58, 69, 1
11, 78, 73, -1
